old_path,new_path,width,height,original_size_bytes,webp_size_bytes
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\TILTSLIDEAPP800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\TILTSLIDEAPP800x800.webp,800,800,178776,13380
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\TiltTray.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\TiltTray.webp,806,605,426713,37620
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\TIPPERAPP800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\TIPPERAPP800x800.webp,800,800,350740,22678
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Valves.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\Valves.webp,250,190,32131,4370
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\VALVEScategory1200x1200.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\VALVEScategory1200x1200.webp,1200,1200,1286453,103156
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\VALVEScategory800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\VALVEScategory800x800.webp,800,800,376387,28250
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\WALKINGFLOORAPP800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\WALKINGFLOORAPP800x800.webp,800,800,315508,22436
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\WASTEREMOVALAPP800x800.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\WASTEREMOVALAPP800x800.webp,800,800,303694,18804
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\winch.jpg,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\winch.webp,1280,1280,114692,38972
C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\WINCHcategory1200x1200.png,C:\Users\angel\OneDrive - powerauto.com.au\Documents\KensPowerAutoHydraulicsFolder\Website\WebsiteLIVE\images\WINCHcategory1200x1200.webp,1200,1200,1742703,166998
